Experiments,Time,ER_OD,FP_OD,AC_OD,CC_OD,RI_OD,DP_OD,BH_OD,CA_OD,PC_OD,DL_OD,CG_OD,BF_OD,EL_OD,CH_OD,BO_OD,BT_OD,BU_OD,BV_OD,BC_OD,BY_OD,PJ_OD,DF_OD,BL_OD,BP_OD,BA_OD,Butyrate,Acetate,Lactate,Succinate
AC_BA_BC_BF_BH_BL_BO_BP_BU_BV_BY_CA_CC_CG_DF_DL_EL_ER_FP_PC_PJ_RI,0.0,0.00030000000000000003,0.00030000000000000003,0.00030000000000000003,0.00030000000000000003,0.00030000000000000003,0.0,0.00030000000000000003,0.00030000000000000003,0.00030000000000000003,0.00030000000000000003,0.00030000000000000003,0.00030000000000000003,0.00030000000000000003,0.0,0.00030000000000000003,0.0,0.00030000000000000003,0.00030000000000000003,0.00030000000000000003,0.00030000000000000003,0.00030000000000000003,0.00030000000000000003,0.00030000000000000003,0.00030000000000000003,0.00030000000000000003,0.0,0.0,28.0,0.0
AC_BA_BC_BF_BH_BL_BO_BP_BU_BV_BY_CA_CC_CG_DF_DL_EL_ER_FP_PC_PJ_RI,48.0,0.07365118752924293,0.001314529452270943,0.7737366944466029,0.1025437341453345,0.0,0.0,0.0016270019313549785,0.15936540407834468,0.005080287002164063,0.5326223430519019,0.03179653979765538,0.13456890528650947,0.019170898696369627,0.0,0.07764332762110708,0.0,0.022131343347226537,0.02848043353295804,0.23625370052986194,0.04797228110745246,0.017258525619802612,0.06895308680999299,0.0032243653948902957,0.1659996349345338,0.12051046919407177,28.5,35.065,24.415,8.835
AC_BA_BC_BF_BH_BL_BO_BP_BY_CA_CC_CG_DL_DP_EL_PC_RI,0.0,0.0,0.0,0.000388235294117647,0.000388235294117647,0.000388235294117647,0.000388235294117647,0.000388235294117647,0.000388235294117647,0.000388235294117647,0.000388235294117647,0.000388235294117647,0.000388235294117647,0.000388235294117647,0.0,0.000388235294117647,0.0,0.0,0.0,0.000388235294117647,0.000388235294117647,0.0,0.0,0.000388235294117647,0.000388235294117647,0.000388235294117647,0.0,0.0,28.0,0.0
AC_BA_BC_BF_BH_BL_BO_BP_BY_CA_CC_CG_DL_DP_EL_PC_RI,48.0,0.0,0.0,0.5798985649185,0.055877550821999994,0.0,0.003405947778,0.000286860354,0.023623738932000003,0.09501941295149999,0.0163299207915,0.100816515603,0.21884295704400003,0.0052199004705,0.0,0.0597738347835,0.0,0.0,0.0,0.1900972921545,0.05094691679999999,0.0,0.0,0.0019797031935,0.209342658534,0.082976641986,25.312267040000002,44.835108925,33.123468985,9.681040379999999
AC_BA_BC_BF_BH_BL_BP_BT_BY_CG_EL_ER_FP,0.0,0.0005076923076923077,0.0005076923076923077,0.0005076923076923077,0.0,0.0,0.0,0.0005076923076923077,0.0,0.0,0.0,0.0005076923076923077,0.0005076923076923077,0.0005076923076923077,0.0,0.0,0.0005076923076923077,0.0,0.0,0.0005076923076923077,0.0005076923076923077,0.0,0.0,0.0005076923076923077,0.0005076923076923077,0.0005076923076923077,0.0,0.0,28.0,0.0
AC_BA_BC_BF_BH_BL_BP_BT_BY_CG_EL_ER_FP,48.0,0.051050665359,0.0023186194725,0.49379124912,0.0,0.0,0.0,0.00057995871,0.0,0.0,0.0,0.07236516898350001,0.18636632376149997,0.002537397729,0.0,0.0,0.2051738847135,0.0,0.0,0.27501055434449995,0.06696817556250001,0.0,0.0,0.007317646087499999,0.2609632722675,0.09975895586399999,31.367750835,35.263056635,17.22152116,11.27936274
AC_BA_BC_BF_BH_BL_BT_BY_CC_DF_DL_DP_FP_PC_PJ_RI,0.0,0.0,0.0004125,0.0004125,0.0004125,0.0004125,0.0004125,0.0004125,0.0,0.0004125,0.0004125,0.0,0.0004125,0.0,0.0,0.0,0.0004125,0.0,0.0,0.0004125,0.0004125,0.0004125,0.0004125,0.0004125,0.0,0.0004125,0.0,0.0,28.0,0.0
AC_BA_BC_BF_BH_BL_BT_BY_CC_DF_DL_DP_FP_PC_PJ_RI,48.0,0.0,0.0034764170475000003,0.5134368983895,0.1050678906375,0.000184966356,0.0034172353185,0.00029693543249999997,0.0,0.184154429442,0.020733745323,0.0,0.1403922888525,0.0,0.0,0.0,0.202667550297,0.0,0.0,0.17392479754649998,0.046902040674,0.0280002236025,0.153037825596,0.007062330072,0.0,0.055769276983499996,22.557352299999998,36.68970557,22.095102985,18.763338935
AC_BA_BC_BF_BH_BO_BP_BU_BY_CC_CH_DF_DL_DP_ER_FP_RI,0.0,0.000388235294117647,0.000388235294117647,0.000388235294117647,0.000388235294117647,0.000388235294117647,0.000388235294117647,0.000388235294117647,0.0,0.0,0.000388235294117647,0.0,0.000388235294117647,0.0,0.000388235294117647,0.000388235294117647,0.0,0.000388235294117647,0.0,0.000388235294117647,0.000388235294117647,0.0,0.000388235294117647,0.0,0.000388235294117647,0.000388235294117647,0.0,0.0,28.0,0.0
AC_BA_BC_BF_BH_BO_BP_BU_BY_CC_CH_DF_DL_DP_ER_FP_RI,48.0,0.0354635642125,0.0011353901465,0.38151880587200004,0.054005619917,4.552845e-05,0.001590071353,0.00022690298,0.0,0.0,0.016144301206499997,0.0,0.15593361610099998,0.0,0.06801062821,0.1358461019155,0.0,0.014997539418999999,0.0,0.2952226958335,0.055871787285,0.0,0.06624008463350001,0.0,0.2061011278555,0.06578438961199999,17.180346145,49.5716838,40.364671565,9.66017954
