,Community,Time,Richness,Contamination,PC,PC_OD,PJ,PJ_OD,BV,BV_OD,BF,BF_OD,BO,BO_OD,BT,BT_OD,BC,BC_OD,BY,BY_OD,BU,BU_OD,DP,DP_OD,BL,BL_OD,BA,BA_OD,BP,BP_OD,CA,CA_OD,EL,EL_OD,FP,FP_OD,CH,CH_OD,AC,AC_OD,BH,BH_OD,CG,CG_OD,ER,ER_OD,RI,RI_OD,CC,CC_OD,DL,DL_OD,DF,DF_OD,OD,Butyrate,Acetate,Lactate,Succinate
321,PJ-BV-BO-BU-CA-CH-AC-BH-CG-RI-DL-DF,16.0,12.0,No,0.0,0.0,1.0,0.023061502996772707,1.0,0.06082889196250192,0.0,0.0,1.0,0.5753677885354234,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.12683826648224988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.02038770554787152,0.0,0.0,0.0,0.0,1.0,0.0843917319809436,1.0,0.2595254648839711,1.0,0.0006684493622252959,1.0,0.03108289534347626,0.0,0.0,1.0,0.0028409097894575076,0.0,0.0,1.0,0.374498755186722,1.0,0.250167173812817,1.8123333333333334,24.48061944,63.847955799999994,16.80059618,15.47527684
322,PJ-BV-BO-BU-CA-CH-AC-BH-CG-RI-DL-DF,32.0,12.0,No,0.0,0.0,1.0,0.017581090407177362,1.0,0.024207809099113443,0.0,0.0,1.0,0.3038823857302118,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0764101236927324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.03164596273291925,0.0,0.0,0.0,0.0,1.0,0.0526080320645538,1.0,0.4897009874183787,1.0,0.0008114349418697244,1.0,0.021232547645591123,0.0,0.0,1.0,0.0014876307267611617,0.0,0.0,1.0,0.35053989488772097,1.0,0.3267378032595424,1.6983333333333333,28.39006144,45.17825004,13.6192786,16.29883334
323,PJ-BV-BO-BU-CA-CH-AC-BH-CG-RI-DL-DF,48.0,12.0,No,0.0,0.0,1.0,0.008842242917552737,1.0,0.010212167876610202,0.0,0.0,1.0,0.38233360220967466,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.05529515289286499,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.008842242917552737,0.0,0.0,0.0,0.0,1.0,0.1425967343746181,1.0,0.3224305199090709,1.0,0.000747231795849527,1.0,0.02129610618171152,0.0,0.0,1.0,0.002117156754906993,0.0,0.0,1.0,0.4052487106157268,1.0,0.33700153992813664,1.6983333333333333,26.10283712,40.87415464,17.25856229,19.61366993
324,PC-BF-BO-BC-BY-DP-BL-BA-BP-CA-EL-AC-BH-CG-RI-CC-DL,0.0,17.0,No,1.0,0.0003882352941176471,0.0,0.0,0.0,0.0,1.0,0.0003882352941176471,1.0,0.0003882352941176471,0.0,0.0,1.0,0.0003882352941176471,1.0,0.0003882352941176471,0.0,0.0,1.0,0.0003882352941176471,1.0,0.0003882352941176471,1.0,0.0003882352941176471,1.0,0.0003882352941176471,1.0,0.0003882352941176471,1.0,0.0003882352941176471,0.0,0.0,0.0,0.0,1.0,0.0003882352941176471,1.0,0.0003882352941176471,1.0,0.0003882352941176471,0.0,0.0,1.0,0.0003882352941176471,1.0,0.0003882352941176471,1.0,0.0003882352941176471,0.0,0.0,0.0066,0.0,0.0,28.0,0.0
325,PC-BF-BO-BC-BY-DP-BL-BA-BP-CA-EL-AC-BH-CG-RI-CC-DL,16.0,17.0,No,1.0,0.07379805352798054,0.0,0.0,0.0,0.0,1.0,0.25189233576642334,1.0,0.0755551500405515,0.0,0.0,1.0,0.28854034874290346,1.0,0.08434063260340632,0.0,0.0,1.0,0.0040162206001622056,1.0,0.014182278994322789,1.0,0.15098479318734792,1.0,0.1058023114355231,1.0,0.010793592862935929,1.0,0.0017570965125709651,0.0,0.0,0.0,0.0,1.0,0.03137672343876723,1.0,0.0003765206812652068,1.0,0.02095965125709651,0.0,0.0,1.0,0.0017570965125709651,1.0,0.011672141119221411,1.0,0.3153988240064882,0.0,0.0,1.4443333333333332,16.2465348,45.67505252,40.57114494,11.56155313
326,PC-BF-BO-BC-BY-DP-BL-BA-BP-CA-EL-AC-BH-CG-RI-CC-DL,32.0,17.0,No,1.0,0.09490119282426975,0.0,0.0,0.0,0.0,1.0,0.2238476566168874,1.0,0.0615651983344291,0.0,0.0,1.0,0.26370899470899467,1.0,0.08681544096928712,0.0,0.0,1.0,0.002837105914028991,1.0,0.0035463823925362386,1.0,0.095610469302777,1.0,0.1734890266428728,1.0,0.013618108387339156,1.0,0.0018441188441188441,0.0,0.0,0.0,0.0,1.0,0.13944375567452488,1.0,0.00014185529570144955,1.0,0.019576030806800038,0.0,0.0,1.0,0.0014185529570144954,1.0,0.008511317742086973,1.0,0.3188907047368586,0.0,0.0,1.5103333333333333,15.510402800000001,47.11692704,44.17931657,11.92693022
327,PC-BF-BO-BC-BY-DP-BL-BA-BP-CA-EL-AC-BH-CG-RI-CC-DL,48.0,17.0,No,1.0,0.04413701084394153,0.0,0.0,0.0,0.0,1.0,0.2268010372465818,1.0,0.05759217350306459,0.0,0.0,1.0,0.23587307873644509,1.0,0.07216859971711456,0.0,0.0,1.0,0.0021405940594059407,1.0,0.0023444601603017446,1.0,0.04311768033946252,1.0,0.07481885902876001,1.0,0.0024463932107496463,1.0,0.0012231966053748231,0.0,0.0,0.0,0.0,1.0,0.4378024516737388,1.0,0.0005096652522395097,1.0,0.024463932107496464,0.0,0.0,1.0,0.0011212635549269212,1.0,0.01314936350777935,1.0,0.20080810938236682,0.0,0.0,1.4413333333333334,20.68401208,43.32903468,39.29952018,13.59232395
328,PJ-BO-BT-BC-CA-EL-FP-AC-BH-ER-RI,0.0,11.0,No,0.0,0.0,1.0,0.0006,0.0,0.0,0.0,0.0,1.0,0.0006,1.0,0.0006,1.0,0.0006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0006,1.0,0.0006,1.0,0.0006,0.0,0.0,1.0,0.0006,1.0,0.0006,0.0,0.0,1.0,0.0006,1.0,0.0006,0.0,0.0,0.0,0.0,0.0,0.0,0.0066,0.0,0.0,28.0,0.0
329,PJ-BO-BT-BC-CA-EL-FP-AC-BH-ER-RI,16.0,11.0,No,0.0,0.0,1.0,0.04309197677487463,0.0,0.0,0.0,0.0,1.0,0.14386883082607546,1.0,0.6573672472948006,1.0,0.474870150435471,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.11279453681710212,1.0,0.009957508577461069,1.0,0.0013734494589601476,0.0,0.0,1.0,0.251512932172077,1.0,0.0008584059118500922,0.0,0.0,1.0,0.4661144101346001,1.0,0.004292029559250461,0.0,0.0,0.0,0.0,0.0,0.0,2.168333333333333,32.55875856,4.33959844,17.4506698,19.94146766
330,PJ-BO-BT-BC-CA-EL-FP-AC-BH-ER-RI,32.0,11.0,No,0.0,0.0,1.0,0.03368476249228871,0.0,0.0,0.0,0.0,1.0,0.08782989923915277,1.0,0.6769389677154019,1.0,0.30890174789224756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.17915303310713548,1.0,0.054394653506066204,1.0,0.001247583796010693,0.0,0.0,1.0,0.4586118034135307,1.0,0.002245650832819247,0.0,0.0,1.0,0.21707958050586057,1.0,0.0019961340736171086,0.0,0.0,0.0,0.0,0.0,0.0,2.022333333333333,42.33500032,8.59106332,11.44120067,29.89976432
